date | value
2009-01-04 |  	3
2009-01-04 | 3
2009-01-04 | 3
 | 2009-01-04 | 3
2009-01-01 | 3
2022-03-28 | 3
2022-03-30 | 3
2009-01-03 | 3
2009-01-02 | 3.0f
2009-01-02 | 3.f
2011-01-04 | 3f
2001-01-90 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1001f
2012-01-11 | -1
2001-42-42 | 1
2012-01-11 | 1999999999999999999
2012-01-11 | 2147483648
2012-0d1-11 | 2147483648
2012-01-11d | 21
2012-01-11 | 21d
2012-01-11 | 2147483648d
2012-01-11 | 214748d3648
201d2-01-11 | 2147483648
201 2-01-11 | 2147483648
2012-01/11 | 2147483648
-100-01-11 | 1
2012+01-11 | 1 1
44444512-01-11 | 1
2021-02-29 | 1
1900-02-29 | 1

2020-02-29 | €
202€-02-29 | 1
2020-+02-29 | 1
2020-02-29 | 1
2021-02-28 | 999.999
2021-02-28 | 1000
2021-02-28 | 1000.0
2021-02-28 | 1000.01
2021-04-31 | 5
2010-12-00 | 5
2010-00-15 | 5
2010-13-15 | 5
2021-02-29 | 0
2021-02-29 | -0.01
2021-02-29 | +42
abcd-ef-gh | 123
2021-2-9 | 123
2021-02-09|123
2021-02-09 |
 | 2021-02-09
2021-02-09 | 0000123
2021-02-09 | 12.34.56
2021-02-09 | twelve
